iter	Passed	Remaining
446	1157	1432
447	1159	1428
448	1160	1424
449	1162	1421
450	1164	1417
451	1170	1419
452	1172	1415
453	1174	1412
454	1177	1410
455	1180	1407
456	1181	1404
457	1185	1402
458	1186	1398
459	1187	1394
460	1189	1390
461	1191	1387
462	1193	1383
463	1196	1382
464	1200	1380
465	1202	1377
466	1202	1373
467	1204	1368
468	1205	1364
469	1206	1360
470	1208	1356
471	1210	1354
472	1213	1352
473	1215	1348
474	1216	1344
475	1217	1339
476	1218	1335
477	1220	1333
478	1224	1332
479	1229	1331
480	1230	1327
481	1231	1323
482	1232	1319
483	1234	1316
484	1236	1313
485	1248	1320
486	1249	1316
487	1251	1313
488	1261	1317
489	1263	1315
490	1266	1312
491	1268	1310
492	1270	1306
493	1272	1303
494	1275	1301
495	1278	1298
496	1281	1296
497	1283	1293
498	1284	1290
499	1286	1286
500	1287	1282
501	1289	1279
502	1294	1278
503	1302	1281
504	1304	1279
505	1306	1275
506	1307	1271
507	1310	1269
508	1312	1266
509	1316	1264
510	1320	1263
511	1322	1260
512	1324	1257
513	1325	1253
514	1327	1250
515	1329	1247
516	1331	1244
517	1333	1241
518	1336	1238
519	1338	1235
520	1339	1231
521	1340	1227
522	1342	1224
523	1345	1221
524	1348	1219
525	1352	1218
526	1354	1215
527	1355	1212
528	1357	1208
529	1359	1205
530	1363	1204
531	1366	1202
532	1369	1199
533	1370	1196
534	1372	1193
535	1373	1189
536	1374	1185
537	1376	1181
538	1377	1178
539	1379	1175
540	1381	1172
541	1383	1168
542	1385	1165
543	1387	1162
544	1388	1159
545	1390	1156
546	1391	1152
547	1396	1152
548	1406	1155
549	1408	1152
550	1409	1148
551	1410	1144
552	1411	1140
553	1413	1137
554	1415	1135
555	1418	1132
556	1421	1130
557	1422	1126
558	1423	1122
559	1425	1120
560	1426	1116
561	1427	1112
562	1428	1108
563	1429	1105
564	1431	1101
565	1433	1099
566	1436	1096
567	1439	1094
568	1444	1094
569	1445	1090
570	1447	1087
571	1448	1084
572	1449	1080
573	1450	1076
574	1452	1073
575	1454	1070
576	1457	1068
577	1460	1066
578	1462	1063
579	1463	1060
580	1465	1057
581	1467	1054
582	1469	1051
583	1472	1048
584	1474	1045
585	1475	1042
586	1476	1038
587	1478	1035
588	1480	1032
589	1481	1029
590	1484	1027
591	1487	1025
592	1489	1022
593	1490	1018
594	1492	1015
595	1493	1012
596	1494	1008
597	1495	1005
598	1497	1002
599	1500	1000
600	1502	997
601	1503	993
602	1504	990
603	1505	986
604	1506	983
605	1509	981
606	1510	978
607	1514	976
608	1516	973
609	1518	971
610	1520	967
611	1521	964
612	1522	961
613	1524	958
614	1526	955
615	1529	953
616	1532	951
617	1534	948
618	1535	945
619	1536	941
620	1537	938
621	1537	934
622	1539	931
623	1541	928
624	1543	925
625	1545	923
626	1547	920
627	1548	917
628	1550	914
629	1551	911
630	1552	907
631	1554	904
632	1556	902
633	1557	899
634	1560	896
635	1561	893
636	1563	891
637	1564	887
638	1565	884
639	1566	881
640	1568	878
641	1570	875
642	1572	872
643	1575	870
644	1576	867
645	1578	865
646	1580	862
647	1581	858
648	1582	855
649	1583	852
650	1585	849
651	1587	847
652	1590	845
653	1592	842
654	1593	839
655	1595	836
656	1596	833
657	1597	830
658	1598	827
659	1600	824
660	1601	821
661	1604	819
662	1606	816
663	1607	813
664	1608	810
665	1610	807
666	1610	804
667	1611	801
668	1612	797
669	1614	795
670	1615	792
671	1617	789
672	1618	786
673	1620	783
674	1621	780
675	1622	777
676	1623	774
677	1624	771
678	1625	768
679	1627	765
680	1628	762
681	1631	760
682	1633	757
683	1634	755
684	1636	752
685	1638	749
686	1639	747
687	1642	744
688	1643	741
689	1644	738
690	1645	735
691	1646	732
692	1648	730
693	1649	727
694	1650	724
695	1651	721
696	1652	718
697	1653	715
698	1655	712
699	1656	709
700	1658	707
701	1660	704
702	1661	701
703	1662	699
704	1664	696
705	1665	693
706	1667	690
707	1668	687
708	1669	685
709	1671	682
710	1672	679
711	1673	677
712	1675	674
713	1677	672
714	1678	669
715	1679	666
716	1680	663
717	1684	661
718	1688	659
719	1691	657
720	1693	655
721	1694	652
722	1695	649
723	1696	646
724	1697	643
725	1698	641
726	1700	638
727	1702	635
728	1704	633
729	1706	631
730	1707	628
731	1708	625
732	1709	622
733	1710	619
734	1711	617
735	1713	614
736	1715	612
737	1716	609
738	1719	607
739	1722	605
740	1723	602
741	1724	599
742	1725	596
743	1727	594
744	1728	591
745	1731	589
746	1733	587
747	1735	584
748	1736	582
749	1737	579
750	1738	576
751	1739	573
752	1741	571
753	1742	568
754	1759	570
755	1760	568
756	1762	565
757	1764	563
758	1765	560
759	1766	557
760	1767	554
761	1768	552
762	1769	549
763	1771	547
764	1775	545
765	1776	542
766	1777	540
767	1779	537
768	1780	534
769	1781	532
770	1782	529
771	1783	526
772	1784	523
773	1785	521
774	1787	518
775	1790	516
776	1792	514
777	1794	511
778	1796	509
779	1797	506
780	1799	504
781	1800	501
782	1801	499
783	1802	496
784	1803	493
785	1805	491
786	1807	489
787	1810	487
788	1813	484
789	1815	482
790	1816	480
791	1817	477
792	1818	474
793	1819	472
794	1820	469
795	1822	467
796	1824	464
797	1824	461
798	1825	459
799	1826	456
800	1828	454
801	1831	452
802	1834	450
803	1835	447
804	1837	445
805	1838	442
806	1839	440
807	1840	437
808	1841	434
809	1843	432
810	1845	430
811	1847	427
812	1849	425
813	1850	422
814	1852	420
815	1852	417
816	1853	415
817	1854	412
818	1855	410
819	1857	407
820	1860	405
821	1862	403
822	1862	400
823	1863	398
824	1865	395
825	1866	393
826	1868	390
827	1869	388
828	1871	386
829	1873	383
830	1875	381
831	1877	379
832	1879	376
833	1880	374
834	1881	371
835	1882	369
836	1882	366
837	1883	364
838	1884	361
839	1885	359
840	1886	356
841	1887	354
842	1889	351
843	1890	349
844	1892	347
845	1894	344
846	1895	342
847	1896	339
848	1898	337
849	1899	335
850	1900	332
851	1901	330
852	1901	327
853	1902	325
854	1903	322
855	1905	320
856	1907	318
857	1909	316
858	1911	313
859	1912	311
860	1913	308
861	1914	306
862	1916	304
863	1917	301
864	1928	301
865	1929	298
866	1930	296
867	1931	293
868	1932	291
869	1933	288
870	1934	286
871	1935	284
872	1936	281
873	1937	279
874	1938	276
875	1939	274
876	1940	272
877	1941	269
878	1942	267
879	1944	265
880	1945	262
881	1947	260
882	1948	258
883	1949	255
884	1950	253
885	1951	251
886	1952	248
887	1953	246
888	1954	243
889	1956	241
890	1959	239
891	1961	237
892	1962	235
893	1964	232
894	1965	230
895	1966	228
896	1967	225
897	1968	223
898	1969	221
899	1970	218
900	1971	216
901	1972	214
902	1973	211
903	1974	209
904	1976	207
905	1978	205
906	1979	202
907	1981	200
908	1982	198
909	1984	196
910	1986	194
911	1988	191
912	1989	189
913	1990	187
914	1991	185
915	1992	182
916	1993	180
917	1994	178
918	1995	175
919	1996	173
920	1997	171
921	2000	169
922	2003	167
923	2005	164
924	2007	162
925	2008	160
926	2009	158
927	2010	155
928	2011	153
929	2013	151
930	2014	149
931	2015	147
932	2017	144
933	2018	142
934	2020	140
935	2022	138
936	2024	136
937	2025	133
938	2026	131
939	2027	129
940	2028	127
941	2029	124
942	2030	122
943	2031	120
944	2033	118
945	2034	116
946	2036	113
947	2038	111
948	2039	109
949	2041	107
950	2043	105
951	2044	103
952	2045	100
953	2046	98
954	2048	96
955	2050	94
956	2051	92
957	2052	89
958	2053	87
959	2054	85
960	2055	83
961	2056	81
962	2057	79
963	2058	76
964	2059	74
965	2061	72
966	2062	70
967	2064	68
968	2065	66
969	2068	63
970	2068	61
971	2069	59
972	2071	57
973	2072	55
974	2073	53
975	2074	51
976	2075	48
977	2076	46
978	2078	44
979	2080	42
980	2082	40
981	2083	38
982	2084	36
983	2087	33
984	2089	31
985	2090	29
986	2091	27
987	2092	25
988	2093	23
989	2096	21
990	2100	19
991	2101	16
992	2102	14
993	2103	12
994	2105	10
995	2105	8
996	2106	6
997	2108	4
998	2109	2
999	2111	0
